2025-06-17 09:40:48 | INFO | voice_tts_manager | 開始語音合成: 'Hey Power Pro'
2025-06-17 09:40:50 | INFO | voice_tts_manager | Google TTS 播放完成
2025-06-17 09:40:50 | INFO | voice_tts_manager | TTS 資源清理完成
2025-06-17 09:40:50 | INFO | voice_audio_recorder | 音訊資源清理完成
2025-06-17 09:40:50 | INFO | voice_sound_detector | 檢測歷史已清空
2025-06-17 09:40:50 | INFO | voice_sound_detector | 聲音檢測器資源清理完成
2025-06-17 09:40:50 | INFO | voice_tts_manager | TTS 語言設定為: en
2025-06-17 09:40:50 | INFO | voice_tts_manager | 語音速度設定為: 150.0
2025-06-17 09:40:50 | INFO | voice_sound_detector | 檢測閾值設定為: 0.75
2025-06-17 09:40:50 | INFO | LocalVoiceVerifyingLibrary | 開始語音檢測流程: 播放='Hey Power Pro', 檢測='登登', 時長=10秒
2025-06-17 09:40:50 | ERROR | voice_sound_detector | 找不到參考聲音檔案: 登登
2025-06-17 09:40:50 | WARNING | LocalVoiceVerifyingLibrary | 參考聲音 '登登' 載入失敗，嘗試建立範例檔案
2025-06-17 09:40:50 | INFO | LocalVoiceVerifyingLibrary | 已建立參考聲音指引檔案: /Users/owenke/source/github.com/robot-test-project/libraries/local_voice_verifying/audio_samples/reference_sounds/登登_sample.txt
2025-06-17 09:40:50 | ERROR | voice_sound_detector | 找不到參考聲音檔案: 登登
2025-06-17 09:40:50 | INFO | voice_tts_manager | TTS 資源清理完成
2025-06-17 09:40:50 | INFO | voice_audio_recorder | 音訊資源清理完成
2025-06-17 09:40:50 | INFO | voice_sound_detector | 檢測歷史已清空
2025-06-17 09:40:50 | INFO | voice_sound_detector | 聲音檢測器資源清理完成
2025-06-17 09:40:50 | ERROR | voice_audio_recorder | 音訊設備未初始化
2025-06-17 09:40:52 | WARNING | voice_audio_recorder | 目前沒有在錄音
2025-06-17 09:40:52 | WARNING | voice_audio_recorder | 音訊緩衝區為空
2025-06-17 09:40:52 | INFO | voice_tts_manager | TTS 資源清理完成
2025-06-17 09:40:52 | INFO | voice_audio_recorder | 音訊資源清理完成
2025-06-17 09:40:52 | INFO | voice_sound_detector | 檢測歷史已清空
2025-06-17 09:40:52 | INFO | voice_sound_detector | 聲音檢測器資源清理完成
2025-06-17 09:40:52 | INFO | voice_tts_manager | TTS 語言設定為: en
2025-06-17 09:40:52 | INFO | voice_sound_detector | 檢測閾值設定為: 0.75
